# One line per image: filename | prompt
# Keep the whole line after the | as the prompt - the shared tail is the style lock.

jukebox.webp | a Jukebox as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
speedboat.webp | a Speedboat as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
zamboni.webp | a Zamboni as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
genuine-meteorite-fragment.webp | museum-quality still-life of a Genuine Meteorite Fragment. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
kraken-s-tentacle.webp | maritime still-life or scene of Kraken's Tentacle, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
the-first-cast.webp | maritime still-life or scene of The First Cast, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
african-elephant.webp | majestic portrait of a African Elephant, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
housefly.webp | majestic portrait of a Housefly, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
manta-ray.webp | majestic portrait of a Manta Ray, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
mosquito.webp | majestic portrait of a Mosquito, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
wallaby.webp | majestic portrait of a Wallaby, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
wandering-albatross.webp | majestic portrait of a Wandering Albatross, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
vintage-pocket-watch.webp | detailed depiction of Vintage Pocket Watch. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
amber.webp | awe-inspiring depiction of Amber, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
enceladus.webp | awe-inspiring depiction of Enceladus, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
tourmaline.webp | awe-inspiring depiction of Tourmaline, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
first-gen-ipod.webp | warm nostalgic still-life of a First-Gen iPod. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
loaded-dice.webp | mystical gambling-house artifact: Loaded Dice, glowing with uncanny luck. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
marked-card.webp | mystical gambling-house artifact: Marked Card, glowing with uncanny luck. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
roulette-ball.webp | mystical gambling-house artifact: Roulette Ball, glowing with uncanny luck. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
achilles.webp | heroic portrait of Achilles, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
ares.webp | heroic portrait of Ares, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
buzz-aldrin.webp | heroic portrait of Buzz Aldrin, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
carl-linnaeus.webp | heroic portrait of Carl Linnaeus, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
dragon.webp | heroic portrait of Dragon, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
prometheus.webp | heroic portrait of Prometheus, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
raijin.webp | heroic portrait of Raijin, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
werewolf.webp | heroic portrait of Werewolf, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
yan-wang.webp | heroic portrait of Yan Wang, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
zhulong.webp | heroic portrait of Zhulong, character study, period-appropriate dress and props. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
combine-harvester.webp | a Combine Harvester as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
excavator.webp | a Excavator as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
ice-cream-truck.webp | a Ice Cream Truck as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
naval-destroyer.webp | a Naval Destroyer as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
paraglider.webp | a Paraglider as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
water-wheel.webp | a Water Wheel as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
solid-gold-paperclip.webp | museum-quality still-life of a Solid Gold Paperclip. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
gold-plated-letter-opener.webp | detailed depiction of Gold-Plated Letter Opener. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
brass-telescope.webp | detailed depiction of Brass Telescope. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
neptune-s-trident.webp | maritime still-life or scene of Neptune's Trident, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
pearl-of-the-deep.webp | maritime still-life or scene of Pearl of the Deep, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
siren-s-song.webp | maritime still-life or scene of Siren's Song, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
the-endless-net.webp | maritime still-life or scene of The Endless Net, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
american-alligator.webp | majestic portrait of a American Alligator, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
barracuda.webp | majestic portrait of a Barracuda, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
bearded-dragon.webp | majestic portrait of a Bearded Dragon, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
blue-crab.webp | majestic portrait of a Blue Crab, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
bumblebee.webp | majestic portrait of a Bumblebee, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
cicada.webp | majestic portrait of a Cicada, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
desert-locust.webp | majestic portrait of a Desert Locust, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
electric-eel.webp | majestic portrait of a Electric Eel, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
flying-squirrel.webp | majestic portrait of a Flying Squirrel, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
frilled-lizard.webp | majestic portrait of a Frilled Lizard, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
green-anole.webp | majestic portrait of a Green Anole, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
grevy-s-zebra.webp | majestic portrait of a Grevy's Zebra, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
largemouth-bass.webp | majestic portrait of a Largemouth Bass, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
leatherback-turtle.webp | majestic portrait of a Leatherback Turtle, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
leopard.webp | majestic portrait of a Leopard, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
lion.webp | majestic portrait of a Lion, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
manatee.webp | majestic portrait of a Manatee, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
monitor-lizard.webp | majestic portrait of a Monitor Lizard, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
narwhal.webp | majestic portrait of a Narwhal, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
northern-cardinal.webp | majestic portrait of a Northern Cardinal, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
orb-weaver-spider.webp | majestic portrait of a Orb Weaver Spider, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
platypus.webp | majestic portrait of a Platypus, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
rock-pigeon.webp | majestic portrait of a Rock Pigeon, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
sloth.webp | majestic portrait of a Sloth, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
handwoven-wool-poncho.webp | detailed depiction of Handwoven Wool Poncho. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
antelope-canyon.webp | awe-inspiring depiction of Antelope Canyon, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
big-ben.webp | awe-inspiring depiction of Big Ben, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
bora-bora-lagoon.webp | awe-inspiring depiction of Bora Bora Lagoon, grand scale, luminous. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
